source_artifact,legacy_field_path,legacy_required,expected_datatype,cardinality,conditional_rule,current_rdf_predicate,current_rdf_value_kind,current_adapter,notes
#VIC&2.0.0,unit_impact,yes,string,1,always,nias-o:impactSummary/ind:hasUnit,QUDT unit IRI,,Covered by dataRequirements/certificate-shapes.ttl.
#VIC&2.0.0,uri_ipfs_drmr,yes,string,1,always,nias-o:monitoringReportReview/nias-o:resourceIpfsUri,IPFS URI literal,,Covered by dataRequirements/certificate-shapes.ttl.
#VICIR&1.0.0,headers,yes,ref:#DocumentHeaders&1.0.0,1,always,nias-o:hasWorkflowSubmission,nias-o:WorkflowDocumentSubmission node,,Covered by dataRequirements/certificate-shapes.ttl.
#VICIR&1.0.0,id_acc_h,yes,string,1,always,nias-o:requestedIssuanceAccountId,literal string,,Covered by dataRequirements/certificate-shapes.ttl.
#VICIR&1.0.0,id_msg_pred_drmr,yes,string,1,always,nias-o:monitoringReportReview/nias-o:documentMessageId,literal string,,Covered by dataRequirements/certificate-shapes.ttl.
#VICIR&1.0.0,summary_impact,yes,ref:#ImpactSummary&1.0.0,1,always,nias-o:impactSummary,nias-o:ImpactSummary node,,Covered by dataRequirements/certificate-shapes.ttl.
#VICIR&1.0.0,url_ipfs_pred_drmr,yes,string,1,always,nias-o:monitoringReportReview/nias-o:resourceIpfsUri,IPFS URI literal,,Covered by dataRequirements/certificate-shapes.ttl.
R:creditingPeriod_toFluree,end,yes,ISO 8601 date-time string,1,always,time:hasEnd/time:inXSDDateTimeStamp,literal string,creditingPeriod_toFluree.R,Emits end instant for nias-o:CreditingPeriod.
R:creditingPeriod_toFluree,renewable,yes,boolean,1,always,nias-o:creditingPeriodIsRenewable,boolean literal,creditingPeriod_toFluree.R,Derived from crediting_period_type == RENEWABLE in sImpact adapter.
R:creditingPeriod_toFluree,start,yes,ISO 8601 date-time string,1,always,time:hasBeginning/time:inXSDDateTimeStamp,literal string,creditingPeriod_toFluree.R,Emits beginning instant for nias-o:CreditingPeriod.
R:dateTimeInstant_toFluree,x,yes,ISO 8601 date-time string,1,always,time:inXSDDateTimeStamp,literal string,dateTimeInstant_toFluree.R,Emits a time:Instant node.
R:dateTimePeriod_toFluree,end,yes,ISO 8601 date-time string,1,always,time:hasEnd/time:inXSDDateTimeStamp,literal string,dateTimePeriod_toFluree.R,Emits end instant for a time:Interval node.
R:dateTimePeriod_toFluree,start,yes,ISO 8601 date-time string,1,always,time:hasBeginning/time:inXSDDateTimeStamp,literal string,dateTimePeriod_toFluree.R,Emits beginning instant for a time:Interval node.
R:indicator_toFluree,lbl,yes,string,1,always,rdfs:label,literal string,indicator_toFluree.R,Embedded indicator node.
R:indicator_toFluree,uom,yes,string,1,always,nias-o:unitOfMeasure,literal string,indicator_toFluree.R,Legacy unit string; target should use ind:hasUnit/QUDT.
R:sAgentDetails_1x0x0_toFluree,agentId,yes,string,1,always,@id,IRI seed,sAgentDetails_1x0x0_toFluree .R,Mints nias-o:agents/{agentId}.
R:sImpact_3x0x0_toFluree,projectId,yes,string,1,monitored impact branch,impactont:hasProvenance,IRI seed,sImpact_3x0x0_toFluree.R,Mints nias-o:activities/{projectId} provenance IRI.
R:sMethodology_1x0x0_toFluree,label,yes,string,1,always,rdfs:label,literal string,sMethodology_1x0x0_toFluree.R,
R:sMethodology_1x0x0_toFluree,title,yes,string,1,always,dcterms:title,literal string,sMethodology_1x0x0_toFluree.R,
R:sMethodology_1x0x0_toFluree,versionTag,yes,string,1,always,data:versionTag,literal string,sMethodology_1x0x0_toFluree.R,JSON schema field is named version.
R:state_toFluree,dtEnd,no,ISO 8601 date-time string,0..1,if state spans interval,impactont:hasTemporalLocation/time:hasEnd,time node literal,state_toFluree.R,Absent dtEnd switches temporal location to time:Instant.
R:state_toFluree,dtStart,yes,ISO 8601 date-time string,1,always,impactont:hasTemporalLocation/time:hasBeginning or time:inXSDDateTimeStamp,time node literal,state_toFluree.R,"If dtEnd is absent, emits time:Instant; otherwise emits time:Interval."
R:state_toFluree,indic,conditional,JSON-LD-ready list,0..1,if indicId is absent,impactont:isDefinedByIndicator,embedded indicator node,state_toFluree.R,Ignored when indicId is provided.
R:state_toFluree,indicId,conditional,IRI string,0..1,if known indicator IRI is available,impactont:isDefinedByIndicator,IRI,state_toFluree.R,Overrides embedded indic list.
R:state_toFluree,mod,yes,string enum[counterfactual|real],1,always,impactont:hasModality,literal string,state_toFluree.R,Adapter lowercases the supplied modality string.
R:state_toFluree,val,no,number or string,0..1,if indicator value is supplied,impactont:hasValue,literal,state_toFluree.R,Target model should use impactont:hasIndicatorValue/rdf:value.
R:workflowDocumentMetadata_toFluree,dfDocMd$did_author,yes,DID string,1,always,nias-o:documentAuthor,agent IRI via DB lookup,workflowDocumentMetadata_toFluree.R,Looks up id_agent from tbl_link_agents_x_dids by DID.
R:workflowDocumentMetadata_toFluree,dfDocMd$encrypted,yes,boolean,1,always,nias-o:isEncrypted,literal,workflowDocumentMetadata_toFluree.R,
R:workflowDocumentMetadata_toFluree,dfDocMd$id,conditional,string,0..1,required if docId absent,@id,IRI seed,workflowDocumentMetadata_toFluree.R,Mints nias-o:documents/{id}.
R:workflowDocumentMetadata_toFluree,dfDocMd$id_entity,yes,string,1,always,nias-o:hasWorkflowSubmission/nias-o:workflowSubject,IRI,workflowDocumentMetadata_toFluree.R,Mints nias-o:activities/{id_entity}.
R:workflowDocumentMetadata_toFluree,dfDocMd$id_message_h,yes,string,1,always,nias-o:hasWorkflowSubmission/nias-o:workflowDocumentSubmissionHederaMessageId,literal string,workflowDocumentMetadata_toFluree.R,Open modeling issue: ontology currently treats this as object property.
R:workflowDocumentMetadata_toFluree,dfDocMd$id_schema,yes,string,1,always,nias-o:documentSchema,nias-o:DocumentSchema IRI,workflowDocumentMetadata_toFluree.R,Mints nias-o:document-schema/{id_schema}.
R:workflowDocumentMetadata_toFluree,dfDocMd$id_workflow,yes,string,1,always,nias-o:hasWorkflowSubmission/nias-o:workflow,IRI,workflowDocumentMetadata_toFluree.R,Mints nias-o:workflows/{id_workflow}.
R:workflowDocumentMetadata_toFluree,dfDocMd$step_workflow,yes,string,1,always,nias-o:hasWorkflowSubmission/nias-o:workflowStep/rdfs:label,literal string,workflowDocumentMetadata_toFluree.R,
R:workflowDocumentMetadata_toFluree,dfDocMd$type_doc,yes,string enum[REGULAR_UNSIGNED|REGULAR_SIGNED|VC],1,always,nias-o:authProof,SKOS concept IRI,workflowDocumentMetadata_toFluree.R,"Maps to nias-o:none, nias-o:eddsa-signature, or nias-o:vc."
R:workflowDocumentMetadata_toFluree,dfDocMd$uri_ipfs,yes,IPFS URI string,1,always,nias-o:resourceIpfsUri,literal string,workflowDocumentMetadata_toFluree.R,
R:workflowDocumentMetadata_toFluree,docId,conditional,string,0..1,required if dfDocMd absent,@id,IRI seed,workflowDocumentMetadata_toFluree.R,Mints nias-o:documents/{docId}; may be loaded from DB.
